,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
130,afrobeat,Sina Makosa,03tyyOcWAjmBB6XjdxF0w3,25,-9.209,108.36,497299,0.669,9,8.39e-05,0.121,0.711,0.643
131,afrobeat,He Miss Road,4wuZiDXoYhnrVSYFQ0EWJP,0,-8.874,96.654,645976,0.574,0,0.00909,0.196,0.473,0.536
132,afrobeat,Dougou Badia - feat. Santigold,6NrxYQ8XG0ahSnBwo2IHK8,0,-5.999,162.927,233358,0.716,9,0.000113,0.036,0.457,0.475
133,afrobeat,Kuzohlatshelelwa,0B9fgmIB70zCIM7LXCHYpn,0,-8.357,137.774,208947,0.411,3,0.0,0.173,0.76,0.515
134,afrobeat,Samba Geladio,6POzRG9o3D6ypBINB36xoL,0,-12.708,175.733,197107,0.302,11,0.376,0.048,0.599,0.504
135,afrobeat,Three Little Birds,26JRni5Lqiyd9GNnlaz6DI,9,-10.54,73.962,180533,0.478,9,1.01e-06,0.0855,0.643,0.781
136,afrobeat,Ten Over Ten,5RZjFZlVueABNbYgojv02J,14,-5.437,118.026,225907,0.965,5,0.0464,0.0772,0.933,0.742
137,afrobeat,Kanou,77NxWmxauHL0k1Lo5TOliE,16,-8.447,135.181,310453,0.499,0,0.813,0.0325,0.726,0.571
138,afrobeat,Gentleman,1wCaldygX7fpq4Hx4LjluH,26,-7.536,86.846,662307,0.794,10,0.0788,0.0604,0.678,0.651
139,afrobeat,Aye,1TfnjAR3A6PnrEy3fL5u3f,0,-4.72,115.0,235053,0.868,11,0.0,0.0474,0.966,0.729
140,afrobeat,Balance,0bjezk40HOayXIka1MlwDF,0,-8.785,84.903,272373,0.737,7,0.00554,0.0468,0.761,0.733
141,afrobeat,Lanchi Biye with Tilahun Gessesse,4xIni3enaiOidNXyY0aGiu,0,-15.219,90.114,188320,0.194,3,0.0111,0.0657,0.371,0.591
142,afrobeat,Tease Me / Bad Guys,0c5mtgPNP2jBk9fdVtZ3lf,38,-2.305,104.427,188817,0.951,9,0.0,0.261,0.93,0.613
143,afrobeat,The Matter (feat. Wizkid),2cWdhA4ZDBvYuHRKKIPT3k,41,-6.782,103.07,198058,0.841,2,0.0,0.271,0.808,0.697
144,afrobeat,Bassekou,2UDFkcyY8nmk45kNj6ZSBr,25,-7.353,148.77,201733,0.756,5,0.00808,0.0537,0.964,0.497
145,afrobeat,Trouble Sleep Yanga Wake Am,4fqjn54bGei0mi7iazrzdk,0,-9.545,141.896,723701,0.561,3,0.00609,0.032,0.614,0.601
146,afrobeat,Mouneïssa,01Xh69x5oCaVjoIB6odY6j,36,-13.038,98.081,343093,0.173,0,0.0,0.0326,0.615,0.733
147,afrobeat,No One Like You,2AuLgTuJqETu6LQsfvK3dd,0,-2.974,102.021,265440,0.873,8,0.0,0.212,0.947,0.813
148,afrobeat,Yègellé Tezeta,6UTg8n7UkdHq77b1ToTVA0,3,-13.539,125.597,194293,0.233,3,0.746,0.0414,0.778,0.839
149,afrobeat,7 Seconds (feat. Neneh Cherry),76D5nfZbYzZYfUZKGy73jy,60,-9.621,154.198,305773,0.702,1,1.79e-06,0.0267,0.509,0.68
150,afrobeat,Jupa - Remix,0bTIb1hVHD656dTDcfPLQc,26,-11.271,114.003,274547,0.688,6,0.0,0.227,0.962,0.842
151,afrobeat,Oh Amadou - feat. Bertrand Cantat,7wxe44zkqshDfO3XRx9TE1,0,-6.283,131.965,208858,0.706,4,0.000394,0.0329,0.547,0.549
152,afrobeat,Ole Buruku,1SV8vGscmm8g83FFSu948l,20,-5.662,126.636,243853,0.81,9,5.75e-05,0.0482,0.865,0.744
153,afrobeat,Good Morning,2gY05pqqvmJulxWkgAenOg,0,-8.611,105.14,259373,0.622,11,0.0,0.106,0.496,0.599
154,afrobeat,Aïcha,0MEn5wVttIHOLTgRQtWcOv,0,-6.135,96.003,312800,0.737,7,1.17e-05,0.0365,0.663,0.754
155,afrobeat,Madan - Remix,3B8O3WgOaiKRcozz7AkIJi,0,-5.533,127.987,191693,0.847,7,0.773,0.036,0.961,0.774
156,afrobeat,Dununya (The World),1IUmBlugt4tehbVPGDnSAo,0,-6.714,86.27,196480,0.756,11,0.000117,0.0358,0.945,0.611
157,afrobeat,Kinsiona,7E93z0vJ2tuz27v5alv4BF,0,-7.176,158.476,242333,0.496,5,2.15e-06,0.0996,0.719,0.641
158,afrobeat,Camions Sauvages,17VgrbttWaKinzCcYmJU0D,0,-8.181,81.995,248653,0.852,5,0.00117,0.0462,0.888,0.517
159,afrobeat,Sa Golo,1mDZpgKx9Xpg6ijl9DvdA6,9,-6.697,101.082,296293,0.769,4,6.21e-05,0.04,0.634,0.519
160,afrobeat,Rirongere,6wAEW6P0AFUaVbp0gh8tfy,0,-7.455,129.622,219467,0.949,1,0.0101,0.0361,0.944,0.815
161,afrobeat,Toumani,3N358jGmaSITGeFOZtXovF,0,-8.807,125.509,354027,0.674,5,0.0198,0.0329,0.904,0.633
162,afrobeat,Hold the Line,4aVuWgvD0X63hcOCnZtNFA,75,-4.797,96.556,235547,0.898,6,0.0618,0.0561,0.808,0.473
163,afrobeat,I Love U,2c6Ah6OH4ScnjniS0t5gTH,0,-6.6,97.971,278680,0.694,10,0.0,0.18,0.927,0.585
164,afrobeat,Sabura,0h11owW0SnQgySECDNtAI5,11,-14.089,96.874,282667,0.547,7,0.0621,0.0369,0.873,0.664
165,afrobeat,Ai Du,7vzhCpNntdmzI3yop3UckE,2,-17.168,151.78,429973,0.225,5,0.0586,0.029,0.408,0.57
166,afrobeat,Love My Baby,4kmE1PtvaPTK00AKCpN19V,37,-5.282,121.043,246828,0.841,4,0.0,0.215,0.707,0.746
167,afrobeat,Bili,2lHYi2Yv1RWiLQfiA7S3Do,0,-9.918,131.916,282840,0.874,7,0.00118,0.0371,0.95,0.615
168,afrobeat,Yeke Yeke,6clkTQW6BTwJxLQjH6WBVj,0,-5.479,125.802,236693,0.92,8,0.0108,0.0435,0.585,0.67
169,afrobeat,Ngalula,4kllrpe5aqUAjBobwsbOD3,18,-4.452,127.782,231600,0.927,2,0.0143,0.0466,0.943,0.713
170,afrobeat,La Tortura (feat. Alejandro Sanz),5BSclXJTa9B0iURhUjZo50,72,-5.367,100.011,212893,0.783,0,0.000308,0.0427,0.812,0.74
171,afrobeat,Umqombothi,3JPrTUwhK3Utti9ilI75fB,33,-10.712,105.513,296080,0.716,8,1.02e-06,0.0664,0.961,0.897
172,afrobeat,"Rain, Rain, Beautiful Rain",5jy4VdsgueqOteU2ea4XHB,30,-23.971,103.43,138933,0.0499,6,0.0,0.0803,0.406,0.47
173,afrobeat,Clandestin,4jvfzleLDS7kAcCzBurkQn,0,-13.386,86.357,239080,0.319,4,9.87e-05,0.0657,0.522,0.506
174,afrobeat,Moussolou,0WqsQ3YFqVsap4P3GEZG3A,0,-7.457,104.062,299547,0.503,8,1.71e-06,0.195,0.622,0.562
175,afrobeat,N'tesse,49MuxK9wgX55vKeTdohEzc,0,-8.043,104.065,273280,0.664,7,0.00328,0.0328,0.871,0.802
176,afrobeat,Soukora,5sAsx8AyENsvhtKwmCnm4F,0,-17.312,90.316,365173,0.328,3,0.00107,0.0327,0.695,0.431
177,afrobeat,Good Or Bad (Oway),1jqBgNjP5yfjCrAgJZE0be,30,-4.646,107.958,245627,0.842,7,4.63e-05,0.0464,0.936,0.784
178,afrobeat,Shake,4pRMuXVS6GXscFYnNQYMcp,0,-3.571,125.043,236356,0.949,5,0.0,0.224,0.955,0.731
