,Genre,Track Name,Track ID,Popularity,Loudness,Tempo,Duration_ms,Energy,Key,Instrumentalness,Speechiness,Valence,Danceability
968,bossanova,Words,0Y8J9GJ1rEHidrtcNxsh8e,0,-18.541,80.078,150253,0.0886,0,0.000738,0.0348,0.103,0.748
969,bossanova,Wave,3jEMU8FbxV3HEC427KFRG8,0,-14.583,106.694,414400,0.376,1,1.57e-06,0.0642,0.378,0.48
970,bossanova,A Morte de Um Deus de Sal,0Nqnh9vLWykyp0QWspR1Na,0,-12.631,134.175,175467,0.422,0,0.000922,0.035,0.589,0.596
971,bossanova,Agua De Beber,6SZbik5rmBTlgMHxHVXquA,0,-10.468,88.563,154133,0.555,2,6.29e-06,0.0342,0.61,0.594
972,bossanova,Roda Pião,3oVa13sCIpEX7L3wvsu0lW,19,-10.845,84.379,214013,0.437,9,0.000666,0.0459,0.388,0.659
973,bossanova,Balança (Não Pode Parar!),5Jc51wZ0EppolpUMFTOLRl,0,-4.667,170.067,214707,0.942,5,0.00203,0.0597,0.768,0.698
974,bossanova,Os novos Yorkinos,52OGo7zpH9Z6ZJdxY5dLCf,0,-13.158,102.041,218827,0.415,6,0.383,0.0563,0.555,0.658
975,bossanova,Menina-Flor,2saWAEUZYz410qlEgVBF1L,20,-8.799,155.402,152960,0.551,7,0.753,0.0383,0.474,0.51
976,bossanova,A Vez Do Dombe,77yu6vnEZtZAQ0iypaxYyp,12,-7.184,79.001,103333,0.652,0,0.0,0.132,0.965,0.542
977,bossanova,Pior Pra Voce,1LptDLSt1L3tpIlaGsmGH7,0,-7.715,113.805,136667,0.53,2,0.0,0.0345,0.664,0.556
978,bossanova,As Polegadas de Mulata,3wXAfdNgLc6UzhHpHH5Cr8,2,-6.099,93.898,126667,0.397,1,0.0,0.0382,0.86,0.79
979,bossanova,Corcovado,0DSaeEem6WZzZXCmWFkE3n,0,-8.787,153.764,139990,0.512,5,0.00014,0.0525,0.506,0.459
980,bossanova,Waldomiro Pena,4KCvW9qjGzDxNdnM2OQ9kk,0,-4.637,101.945,182960,0.908,11,0.00308,0.0704,0.753,0.701
981,bossanova,Retirantes,0ZtA2PuM7cJcOca88wclkM,25,-7.921,98.384,187987,0.5,5,0.000206,0.0304,0.963,0.751
982,bossanova,Turma do Funil (No Baixo Leblon) (feat. Chico Buarque),6NyZAxUsY1PM5Riwv2wHoO,0,-8.308,125.651,204467,0.618,2,1.38e-05,0.0385,0.787,0.699
983,bossanova,Última Composição,2mmsepkKlQNMNP0r2I5LLI,0,-7.743,114.966,144934,0.724,11,0.000367,0.0276,0.395,0.719
984,bossanova,Manha de Carnaval,0xZkPDhEmyDRxix7mdqMwx,0,-24.268,88.989,155387,0.033,7,4.41e-05,0.0345,0.187,0.264
985,bossanova,Essa Moça Tá Diferente,3sjbgAK6gvceFhatwLgPG0,0,-15.58,80.524,216053,0.453,11,0.835,0.0428,0.941,0.604
986,bossanova,Canto De Iemanjá,0si6vGHKLQDsCvbfazcFD4,18,-12.996,84.125,288373,0.365,7,0.0,0.0441,0.325,0.252
